fecha,codigo_municipio,areas
2022-11-14,60202,40
2022-11-14,60601,13
2022-11-14,70101,2731
2022-11-14,80101,408
2022-11-14,80102,11
2022-11-14,80201,319
2022-11-14,80202,186
2022-11-14,80302,78
2022-11-14,80304,45
2022-11-14,80401,58
2022-11-14,80402,3
2022-11-14,80501,68
2022-11-14,80601,13
2022-11-14,80602,27
2022-11-14,80701,17
2022-11-14,80702,19
2022-11-14,80703,2
2022-11-14,80801,63
2022-11-14,80802,21
2022-11-14,80803,20
2022-11-14,90101,210
2022-11-14,90102,44
2022-11-14,90103,5
2022-11-14,90104,2
2022-11-14,90201,22
2022-11-14,90202,3
2022-11-14,90203,19
2022-11-14,90301,16
2022-11-14,90302,21
2022-11-14,90303,18
2022-11-14,90401,7
2022-11-14,90402,4
2022-11-14,90501,7
2022-11-14,90502,6
2022-11-15,10101,1063
2022-11-15,10501,9
2022-11-15,10701,14
2022-11-15,10801,6
2022-11-15,20101,1881
2022-11-15,20105,1149
2022-11-15,30101,1430
2022-11-15,40101,1386
2022-11-15,40102,68
2022-11-15,40103,23
2022-11-15,40104,48
2022-11-15,40201,27
2022-11-15,40601,20
2022-11-15,40602,33
2022-11-15,40603,10
2022-11-15,40701,84
2022-11-15,40702,31
2022-11-15,41001,49
2022-11-15,41101,23
2022-11-15,50101,891
2022-11-15,50102,37
2022-11-15,50103,60
2022-11-15,50104,17
2022-11-15,50301,65
2022-11-15,50302,19
2022-11-15,50303,11
2022-11-15,51101,25
2022-11-15,51102,41
2022-11-15,51201,146
2022-11-15,51202,84
2022-11-15,51203,72
2022-11-15,51401,48
2022-11-15,51402,25
2022-11-15,60101,1175
2022-11-15,60202,41
2022-11-15,60601,13
2022-11-15,70101,2760
2022-11-15,80101,408
2022-11-15,80102,11
2022-11-15,80201,319
2022-11-15,80202,186
2022-11-15,80302,78
2022-11-15,80304,45
2022-11-15,80401,62
2022-11-15,80402,7
2022-11-15,80501,68
2022-11-15,80601,13
2022-11-15,80602,27
2022-11-15,80701,17
2022-11-15,80702,19
2022-11-15,80703,2
2022-11-15,80801,63
2022-11-15,80802,21
2022-11-15,80803,20
2022-11-15,90101,210
2022-11-15,90102,44
2022-11-15,90103,5
2022-11-15,90104,2
2022-11-15,90201,22
2022-11-15,90202,3
2022-11-15,90203,19
2022-11-15,90301,16
2022-11-15,90302,21
2022-11-15,90303,18
2022-11-15,90401,7
2022-11-15,90402,4
2022-11-15,90501,7
2022-11-15,90502,6
2022-11-16,10101,1063
2022-11-16,10501,9
2022-11-16,10701,14
2022-11-16,10801,6
2022-11-16,20101,1902
2022-11-16,20105,1168
2022-11-16,30101,1446
2022-11-16,40101,1386
2022-11-16,40102,68
2022-11-16,40103,23
2022-11-16,40104,48
2022-11-16,40201,33
2022-11-16,40601,20
2022-11-16,40602,33
2022-11-16,40603,10
2022-11-16,40701,84
2022-11-16,40702,31
