feccre,count,chuquisaca,lapaz,cochabamba,oruro,potosi,tarija,santa,beni,pando
2022-09-21 04:00:00+00:00,18,0,0,18,0,0,0,0,0,0
2022-09-20 04:00:00+00:00,22200,3311,5735,3608,525,680,2720,5201,255,165
2022-09-19 04:00:00+00:00,24565,2387,4898,3362,1502,1419,2326,7817,502,352
2022-09-18 04:00:00+00:00,2151,1,0,0,468,1289,1,0,74,318
2022-09-17 04:00:00+00:00,3568,67,0,0,554,1749,234,58,504,402
2022-09-16 04:00:00+00:00,10984,1674,0,0,839,1374,2199,4369,207,322
2022-09-15 04:00:00+00:00,11997,2400,0,0,1374,948,2187,4161,391,536
2022-09-14 04:00:00+00:00,12297,2526,0,0,1400,1165,2487,3823,363,533
2022-09-13 04:00:00+00:00,13390,2839,0,0,1183,1651,2591,4251,503,372
2022-09-12 04:00:00+00:00,12381,2818,0,0,1041,1321,2483,4003,527,188
2022-09-11 04:00:00+00:00,2344,22,0,0,1048,849,7,0,158,260
2022-09-10 04:00:00+00:00,2935,386,0,0,788,1165,90,30,275,201
2022-09-09 04:00:00+00:00,12283,3289,0,0,746,1067,2605,3926,373,277
2022-09-08 04:00:00+00:00,13733,4090,0,0,1392,1005,2750,3906,370,220
2022-09-07 04:00:00+00:00,12587,3699,0,0,1323,1003,2579,3198,559,226
2022-09-06 04:00:00+00:00,12097,2548,0,0,1937,888,2440,3538,490,256
2022-09-05 04:00:00+00:00,11064,2852,0,0,931,629,2630,3294,558,170
2022-09-04 04:00:00+00:00,1495,56,0,0,0,1277,21,0,110,31
2022-09-03 04:00:00+00:00,2387,328,0,0,0,1227,158,4,395,275
2022-09-02 04:00:00+00:00,10946,2454,0,0,0,1802,2777,3252,328,333
2022-09-01 04:00:00+00:00,8855,1881,0,0,0,461,2975,3256,23,259
2022-08-31 04:00:00+00:00,6786,0,0,0,0,0,3044,3742,0,0
2022-08-30 04:00:00+00:00,7105,0,0,0,0,0,3355,3750,0,0
2022-08-29 04:00:00+00:00,6621,0,0,0,0,0,2569,4050,2,0
2022-08-28 04:00:00+00:00,161,0,0,0,0,0,160,1,0,0
2022-08-27 04:00:00+00:00,266,0,0,0,0,0,181,83,2,0
2022-08-26 04:00:00+00:00,6268,0,0,0,0,0,2784,3065,419,0
2022-08-25 04:00:00+00:00,6601,0,0,0,107,0,2733,3552,209,0
2022-08-24 04:00:00+00:00,9906,0,0,0,2913,0,2714,3932,347,0
2022-08-23 04:00:00+00:00,13146,0,0,0,3883,1122,3108,4058,969,6
2022-08-22 04:00:00+00:00,13427,0,0,0,0,1249,3458,4064,3908,748
2022-08-21 04:00:00+00:00,3795,0,0,0,1,0,180,31,3112,471
2022-08-20 04:00:00+00:00,5753,0,0,0,3,0,719,168,4268,595
2022-08-19 04:00:00+00:00,11418,0,0,0,2190,0,3069,3882,1712,565
2022-08-18 04:00:00+00:00,13856,0,0,0,3006,988,3227,5183,1036,416
