referencia,beni,chuquisaca,cochabamba,la_paz,oruro,pando,potosi,santa_cruz,tarija
administracion,3,0,0,26,4,3,5,3,6
capacitacion,4,0,0,7,5,5,6,1,2
cartografia,2,0,0,116,3,4,3,2,0
codificacion_y_muestreo,0,0,0,5,0,0,0,0,0
dicie,30,34,67,173,33,24,30,63,29
difusion_y_comunicacion,2,4,4,7,4,5,3,4,4
direccion,3,0,0,28,1,3,3,2,2
informatica,4,0,0,7,2,2,2,4,4
logistica,1,1,2,22,1,1,1,2,1
operativos_de_campo,133,87,4,19,108,35,96,72,124
tematica,0,0,2,27,0,0,0,2,0
