fecha_publicacion,departamento,administracion,capacitacion,cartografia,codificacion_y_muestreo,dicie,difusion_y_comunicacion,direccion,informatica,logistica,operativos_de_campo,tematica
2021-09-13,beni,0,0,0,0,22,0,0,0,0,0,0
2021-11-11,beni,0,0,0,0,1,0,0,0,0,0,0
2022-01-08,beni,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,beni,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,beni,0,0,0,0,0,0,0,0,0,0,0
2022-03-18,beni,0,0,0,0,7,0,0,0,0,0,0
2022-03-24,beni,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,beni,3,3,2,0,0,2,2,2,0,47,0
2022-05-28,beni,0,1,0,0,0,0,1,2,0,76,0
2022-07-02,beni,0,0,0,0,0,0,0,0,1,10,0
2022-07-28,beni,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,chuquisaca,0,0,0,0,32,0,0,0,0,0,0
2021-11-11,chuquisaca,0,0,0,0,1,0,0,0,0,0,0
2022-01-08,chuquisaca,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,chuquisaca,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,chuquisaca,0,0,0,0,0,0,0,0,0,0,0
2022-03-18,chuquisaca,0,0,0,0,1,0,0,0,0,0,0
2022-03-24,chuquisaca,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,chuquisaca,0,0,0,0,0,0,0,0,0,0,0
2022-05-28,chuquisaca,0,0,0,0,0,2,0,0,0,2,0
2022-07-02,chuquisaca,0,0,0,0,0,1,0,0,1,0,0
2022-07-28,chuquisaca,0,0,0,0,0,1,0,0,0,85,0
2021-09-13,cochabamba,0,0,0,0,65,0,0,0,0,0,0
2021-11-11,cochabamba,0,0,0,0,1,0,0,0,0,0,0
2022-01-08,cochabamba,0,0,0,0,0,0,0,0,0,0,0
2022-01-12,cochabamba,0,0,0,0,0,0,0,0,0,0,0
2022-02-03,cochabamba,0,0,0,0,0,0,0,0,0,0,0
2022-03-18,cochabamba,0,0,0,0,1,0,0,0,0,0,0
2022-03-24,cochabamba,0,0,0,0,0,0,0,0,0,0,0
2022-04-29,cochabamba,0,0,0,0,0,0,0,0,0,0,0
2022-05-28,cochabamba,0,0,0,0,0,3,0,0,0,4,1
2022-07-02,cochabamba,0,0,0,0,0,1,0,0,2,0,1
2022-07-28,cochabamba,0,0,0,0,0,0,0,0,0,0,0
2021-09-13,la_paz,0,0,0,0,98,0,0,0,0,0,0
2021-11-11,la_paz,0,0,0,0,0,0,0,0,0,0,0
2022-01-08,la_paz,0,0,0,0,1,0,0,0,0,0,0
2022-01-12,la_paz,0,0,0,0,1,0,0,0,0,0,0
2022-02-03,la_paz,0,0,0,0,1,0,0,0,0,0,0
2022-03-18,la_paz,0,0,0,0,70,0,0,0,0,0,0
2022-03-24,la_paz,0,0,0,0,1,0,0,0,0,0,0
2022-04-29,la_paz,23,6,86,0,1,0,7,3,0,4,7
2022-05-28,la_paz,2,0,0,5,0,6,7,3,7,14,8
