id_upm,codigo,departamento,provincia,municipio,area_censo,comunidad,zona,sector,area,viviendas_2012,viviendas_2022,fecha_aprobacion
7930,707930,santa_cruz,andres ibañez,santa cruz,12,01001,15,17,12,0,10,2022-09-20T20:16:53.286Z
7872,707872,santa_cruz,andres ibañez,santa cruz,12,01001,15,14,12,0,11,2022-09-22T02:25:41.492Z
7911,707911,santa_cruz,andres ibañez,santa cruz,12,01001,15,15,12,0,16,2022-09-21T13:21:44.527Z
3267,703267,santa_cruz,andres ibañez,santa cruz,04,01001,02,13,04,0,17,2022-08-08T02:02:27.622Z
7819,707819,santa_cruz,andres ibañez,santa cruz,12,01001,15,12,12,0,18,2022-09-20T17:54:07.682Z
5085,705085,santa_cruz,andres ibañez,santa cruz,10,01001,22,13,10,0,20,2022-09-14T03:47:56.815Z
4855,704855,santa_cruz,andres ibañez,santa cruz,09,01001,22,14,09,0,22,2022-08-26T03:10:26.937Z
4661,704661,santa_cruz,andres ibañez,santa cruz,09,01001,22,17,09,0,27,2022-08-21T17:24:13.956Z
8069,708069,santa_cruz,andres ibañez,santa cruz,12,01001,31,15,12,0,36,2022-09-25T19:26:21.442Z
8023,708023,santa_cruz,andres ibañez,santa cruz,12,01001,15,10,12,0,43,2022-09-25T14:15:54.754Z
7948,707948,santa_cruz,andres ibañez,santa cruz,12,01001,16,15,12,0,67,2022-09-27T03:15:30.322Z
5503,705503,santa_cruz,andres ibañez,santa cruz,10,01001,23,15,10,0,68,2022-08-23T00:26:20.057Z
2333,702333,santa_cruz,andres ibañez,santa cruz,03,01001,10,14,03,0,7,2022-07-13T20:32:01.159Z
7874,707874,santa_cruz,andres ibañez,santa cruz,12,01001,16,17,12,0,87,2022-09-21T01:15:23.331Z
4964,704964,santa_cruz,andres ibañez,santa cruz,10,01001,22,14,10,0,93,2022-08-26T22:57:20.028Z
3282,703282,santa_cruz,andres ibañez,santa cruz,04,01001,12,15,04,100,116,2022-08-15T01:16:31.132Z
4427,704427,santa_cruz,andres ibañez,santa cruz,09,01001,12,08,09,100,134,2022-08-21T22:52:05.761Z
3003,703003,santa_cruz,andres ibañez,santa cruz,04,01001,05,08,04,100,137,2022-08-08T02:21:42.977Z
8897,708897,santa_cruz,andres ibañez,santa cruz,12,01001,30,03,12,100,153,2022-09-27T00:16:14.429Z
5598,705598,santa_cruz,andres ibañez,santa cruz,10,01001,09,12,10,100,155,2022-09-01T02:36:24.508Z
3447,703447,santa_cruz,andres ibañez,santa cruz,09,01001,03,12,09,100,156,2022-08-26T03:11:59.296Z
7096,707096,santa_cruz,andres ibañez,santa cruz,12,01001,13,14,12,100,164,2022-09-16T17:15:20.417Z
5875,705875,santa_cruz,andres ibañez,santa cruz,10,01001,04,04,10,100,167,2022-09-01T20:23:19.543Z
3285,703285,santa_cruz,andres ibañez,santa cruz,04,01001,14,03,04,100,169,2022-08-20T02:56:09.898Z
7079,707079,santa_cruz,andres ibañez,santa cruz,12,01001,06,01,12,100,169,2022-09-18T16:06:34.029Z
5995,705995,santa_cruz,andres ibañez,santa cruz,10,01001,06,14,10,100,171,2022-09-07T12:41:15.106Z
5925,705925,santa_cruz,andres ibañez,santa cruz,10,01001,03,17,10,101,123,2022-09-10T01:53:57.651Z
7876,707876,santa_cruz,andres ibañez,santa cruz,12,01001,19,15,12,101,141,2022-09-23T17:58:16.808Z
2858,702858,santa_cruz,andres ibañez,santa cruz,04,01001,06,01,04,101,143,2022-08-17T22:51:49.010Z
5879,705879,santa_cruz,andres ibañez,santa cruz,10,01001,03,10,10,101,143,2022-09-02T21:45:42.167Z
6317,706317,santa_cruz,andres ibañez,santa cruz,10,01001,01,12,10,101,146,2022-09-05T20:19:14.460Z
7143,707143,santa_cruz,andres ibañez,santa cruz,12,01001,10,02,12,101,150,2022-09-22T02:45:39.052Z
3183,703183,santa_cruz,andres ibañez,santa cruz,04,01001,14,16,04,101,159,2022-08-09T15:48:26.418Z
6397,706397,santa_cruz,andres ibañez,santa cruz,10,01001,02,13,10,101,163,2022-09-10T01:54:08.025Z
5931,705931,santa_cruz,andres ibañez,santa cruz,10,01001,11,14,10,101,166,2022-08-31T14:24:14.223Z
5051,705051,santa_cruz,andres ibañez,santa cruz,09,01001,20,14,09,101,170,2022-08-18T15:48:54.218Z
5933,705933,santa_cruz,andres ibañez,santa cruz,10,01001,11,16,10,101,170,2022-08-31T02:57:14.531Z
3392,703392,santa_cruz,andres ibañez,santa cruz,04,01001,16,02,04,101,186,2022-09-02T12:47:07.363Z
6353,706353,santa_cruz,andres ibañez,santa cruz,12,01001,04,01,12,101,207,2022-09-09T12:09:11.552Z
