id_upm,codigo,departamento,provincia,municipio,area_censo,comunidad,zona,sector,area,viviendas_2012,viviendas_2022,fecha_aprobacion
3088,403088,oruro,cercado,oruro,8,1001,1,7,8,0,6,2022-07-30T01:01:20.906Z
3087,403087,oruro,cercado,oruro,8,1001,1,3,8,0,13,2022-08-02T23:34:38.483Z
3190,403190,oruro,cercado,oruro,5,1001,1,8,5,0,15,2022-08-12T22:16:23.339Z
1579,401579,oruro,cercado,oruro,3,1001,13,4,3,0,25,2022-08-12T19:37:59.321Z
3153,403153,oruro,cercado,oruro,5,1001,1,2,5,0,26,2022-08-12T15:04:11.399Z
3158,403158,oruro,cercado,oruro,5,1001,1,1,5,0,32,2022-08-08T02:36:49.413Z
5090,405090,oruro,pantaleon dalence,villa huanuni,1,1001,1,1,1,0,35,2022-08-18T02:18:41.355Z
4129,404129,oruro,cercado,oruro,5,1001,3,5,5,0,38,2022-08-12T21:39:48.740Z
4156,404156,oruro,cercado,oruro,5,1001,4,12,5,0,42,2022-08-12T21:31:28.402Z
5091,405091,oruro,pantaleon dalence,villa huanuni,1,1001,1,2,1,0,46,2022-08-18T02:06:06.060Z
2038,402038,oruro,cercado,oruro,3,1001,22,15,3,0,60,2022-08-12T21:30:02.461Z
3316,403316,oruro,cercado,oruro,7,1001,1,7,7,0,60,2022-08-02T14:04:51.045Z
4154,404154,oruro,cercado,oruro,5,1001,3,14,5,0,63,2022-08-12T21:44:35.072Z
1872,401872,oruro,cercado,oruro,3,1001,12,12,3,0,65,2022-08-16T15:18:20.477Z
2048,402048,oruro,cercado,oruro,6,1001,1,11,6,0,65,2022-07-27T00:31:36.904Z
2085,402085,oruro,cercado,oruro,6,1001,1,15,6,0,66,2022-07-21T04:19:55.010Z
2134,402134,oruro,cercado,oruro,6,1001,2,12,6,0,70,2022-08-15T20:06:17.336Z
3098,403098,oruro,cercado,oruro,2,1001,21,14,2,0,71,2022-07-31T03:30:55.588Z
1941,401941,oruro,cercado,oruro,4,1001,8,16,4,0,73,2022-08-13T02:22:26.712Z
4119,404119,oruro,cercado,oruro,5,1001,3,12,5,0,77,2022-08-16T16:03:38.122Z
4171,404171,oruro,cercado,oruro,5,1001,3,1,5,0,78,2022-08-12T18:03:36.876Z
3210,403210,oruro,cercado,oruro,2,1001,1,3,2,0,82,2022-08-09T14:59:25.212Z
2091,402091,oruro,cercado,oruro,6,1001,2,8,6,0,83,2022-07-22T23:50:35.573Z
2904,402904,oruro,cercado,oruro,2,1001,23,5,2,0,86,2022-08-12T15:33:41.113Z
3614,403614,oruro,cercado,oruro,5,1001,1,13,5,0,88,2022-08-08T13:19:33.345Z
1976,401976,oruro,cercado,oruro,3,1001,12,13,3,0,89,2022-08-13T21:40:51.944Z
4144,404144,oruro,cercado,oruro,5,1001,3,13,5,0,93,2022-08-12T22:42:35.990Z
3084,403084,oruro,cercado,oruro,8,1001,1,6,8,0,94,2022-08-15T12:46:28.647Z
4170,404170,oruro,cercado,oruro,5,1001,3,15,5,0,99,2022-08-13T02:57:04.815Z
3246,403246,oruro,cercado,oruro,5,1001,1,7,5,0,100,2022-07-29T15:57:59.725Z
1931,401931,oruro,cercado,oruro,6,1001,2,10,6,0,101,2022-07-21T17:39:31.088Z
4173,404173,oruro,cercado,oruro,5,1001,3,8,5,0,107,2022-08-15T15:44:05.188Z
2037,402037,oruro,cercado,oruro,3,1001,14,16,3,0,110,2022-08-12T22:16:02.756Z
1950,401950,oruro,cercado,oruro,3,1001,12,10,3,0,112,2022-08-12T22:17:54.944Z
4111,404111,oruro,cercado,oruro,5,1001,3,11,5,0,113,2022-08-13T02:50:00.187Z
2031,402031,oruro,cercado,oruro,6,1001,1,12,6,0,114,2022-08-12T18:54:46.821Z
4196,404196,oruro,cercado,oruro,5,1001,3,10,5,0,114,2022-08-12T18:16:51.692Z
3315,403315,oruro,cercado,oruro,7,1001,1,8,7,0,117,2022-07-30T00:14:39.916Z
2040,402040,oruro,cercado,oruro,6,1001,2,6,6,0,122,2022-08-12T19:38:14.565Z
4176,404176,oruro,cercado,oruro,5,1001,3,2,5,0,126,2022-08-12T18:03:34.896Z
4157,404157,oruro,cercado,oruro,5,1001,4,13,5,0,127,2022-08-14T20:43:37.903Z
3322,403322,oruro,cercado,oruro,5,1001,1,6,5,0,135,2022-07-29T23:51:54.700Z
3145,403145,oruro,cercado,oruro,7,1001,1,4,7,0,137,2022-08-12T15:00:59.465Z
4141,404141,oruro,cercado,oruro,5,1001,3,4,5,0,137,2022-08-14T12:47:11.556Z
1972,401972,oruro,cercado,oruro,6,1001,2,2,6,0,138,2022-08-15T20:06:09.064Z
3244,403244,oruro,cercado,oruro,5,1001,1,5,5,0,139,2022-08-12T15:08:21.628Z
3612,403612,oruro,cercado,oruro,5,1001,1,10,5,0,142,2022-08-08T02:12:56.509Z
3083,403083,oruro,cercado,oruro,8,1001,1,8,8,0,145,2022-08-15T12:46:26.919Z
3266,403266,oruro,cercado,oruro,5,1001,1,3,5,0,146,2022-08-12T18:03:10.067Z
3095,403095,oruro,cercado,oruro,2,1001,21,8,2,0,148,2022-07-25T19:32:36.924Z
4178,404178,oruro,cercado,oruro,5,1001,3,3,5,0,149,2022-08-12T18:03:33.151Z
3204,403204,oruro,cercado,oruro,7,1001,1,5,7,0,150,2022-08-01T17:30:40.435Z
3258,403258,oruro,cercado,oruro,2,1001,1,8,2,0,151,2022-07-30T00:22:03.358Z
3613,403613,oruro,cercado,oruro,5,1001,1,11,5,0,151,2022-08-09T15:58:05.085Z
3085,403085,oruro,cercado,oruro,8,1001,1,5,8,0,154,2022-07-25T15:45:10.449Z
2080,402080,oruro,cercado,oruro,6,1001,2,11,6,0,166,2022-07-21T17:42:43.048Z
2084,402084,oruro,cercado,oruro,6,1001,1,14,6,0,171,2022-08-12T18:53:20.501Z
3148,403148,oruro,cercado,oruro,5,1001,1,4,5,0,178,2022-07-29T23:20:42.581Z
3242,403242,oruro,cercado,oruro,7,1001,1,6,7,0,179,2022-07-29T15:49:13.213Z
3610,403610,oruro,cercado,oruro,5,1001,1,9,5,0,181,2022-08-08T02:12:47.093Z
3320,403320,oruro,cercado,oruro,7,1001,1,2,7,0,184,2022-08-09T18:43:41.929Z
3319,403319,oruro,cercado,oruro,7,1001,1,1,7,0,192,2022-08-08T12:58:49.689Z
3317,403317,oruro,cercado,oruro,7,1001,1,9,7,0,204,2022-08-12T21:45:23.723Z
1914,401914,oruro,cercado,oruro,6,1001,1,1,6,0,207,2022-08-12T19:04:01.253Z
1983,401983,oruro,cercado,oruro,3,1001,12,15,3,0,208,2022-08-13T21:40:55.404Z
2051,402051,oruro,cercado,oruro,6,1001,2,3,6,0,211,2022-08-11T19:46:05.273Z
4158,404158,oruro,cercado,oruro,5,1001,3,9,5,0,221,2022-08-12T18:22:56.316Z
4163,404163,oruro,cercado,oruro,5,1001,3,6,5,0,221,2022-08-11T18:41:06.541Z
1995,401995,oruro,cercado,oruro,3,1001,15,17,3,0,226,2022-08-12T23:12:13.666Z
1973,401973,oruro,cercado,oruro,3,1001,14,7,3,0,230,2022-08-13T21:40:49.682Z
1373,401373,oruro,cercado,oruro,3,1001,14,2,3,0,231,2022-08-12T21:26:40.489Z
1372,401372,oruro,cercado,oruro,3,1001,14,1,3,0,249,2022-08-12T21:05:34.254Z
2041,402041,oruro,cercado,oruro,6,1001,2,7,6,0,254,2022-08-12T19:38:17.081Z
3318,403318,oruro,cercado,oruro,7,1001,1,3,7,0,255,2022-08-12T21:50:19.372Z
1920,401920,oruro,cercado,oruro,6,1001,1,6,6,0,284,2022-08-12T18:44:03.766Z
3216,403216,oruro,cercado,oruro,2,1001,1,2,2,0,286,2022-07-30T16:15:14.046Z
3144,403144,oruro,cercado,oruro,2,1001,2,6,2,0,291,2022-08-12T15:00:39.501Z
3187,403187,oruro,cercado,oruro,2,1001,2,8,2,0,344,2022-08-12T22:14:50.555Z
4148,404148,oruro,cercado,oruro,5,1001,4,2,5,0,344,2022-08-09T18:31:47.947Z
3143,403143,oruro,cercado,oruro,2,1001,2,7,2,0,401,2022-08-08T18:57:26.393Z
4150,404150,oruro,cercado,oruro,5,1001,4,1,5,0,409,2022-08-12T14:23:13.742Z
3149,403149,oruro,cercado,oruro,2,1001,2,5,2,0,421,2022-08-02T22:56:22.373Z
3201,403201,oruro,cercado,oruro,2,1001,1,12,2,0,552,2022-08-12T21:40:29.990Z
3090,403090,oruro,cercado,oruro,8,1001,1,2,8,1,30,2022-08-12T17:31:40.822Z
2079,402079,oruro,cercado,oruro,6,1001,2,4,6,1,132,2022-07-21T17:42:34.601Z
2906,402906,oruro,cercado,oruro,2,1001,23,3,2,1,160,2022-07-26T21:10:35.568Z
1734,401734,oruro,cercado,oruro,3,1001,12,14,3,1,172,2022-08-13T21:40:46.975Z
2908,402908,oruro,cercado,oruro,2,1001,23,1,2,1,467,2022-07-27T14:01:28.660Z
2911,402911,oruro,cercado,oruro,2,1001,22,2,2,2,85,2022-07-22T13:16:53.601Z
2531,402531,oruro,cercado,oruro,2,1001,25,3,2,2,155,2022-08-12T17:21:59.138Z
3196,403196,oruro,cercado,oruro,2,1001,1,13,2,2,285,2022-08-12T17:21:56.224Z
2081,402081,oruro,cercado,oruro,6,1001,1,8,6,3,454,2022-07-22T23:37:34.715Z
1376,401376,oruro,cercado,oruro,3,1001,14,3,3,4,236,2022-08-12T21:47:18.254Z
2905,402905,oruro,cercado,oruro,2,1001,23,4,2,5,166,2022-07-29T17:45:42.704Z
1951,401951,oruro,cercado,oruro,3,1001,12,11,3,6,73,2022-08-12T22:17:57.159Z
1289,401289,oruro,cercado,oruro,3,1001,12,1,3,8,41,2022-08-12T22:17:28.616Z
1593,401593,oruro,cercado,oruro,3,1001,23,8,3,8,155,2022-07-23T15:56:18.176Z
3884,403884,oruro,cercado,oruro,5,1001,12,12,5,10,8,2022-08-09T15:41:31.056Z
3152,403152,oruro,cercado,oruro,2,1001,2,2,2,12,328,2022-07-29T23:17:07.342Z
