id_upm,codigo,departamento,provincia,municipio,area_censo,comunidad,zona,sector,area,viviendas_2012,viviendas_2022,fecha_aprobacion
2279,502279,potosi,tomas frias,potosi,12,1001,2,11,12,0,2,2022-07-13T13:13:29.903Z
1981,501981,potosi,tomas frias,potosi,4,1001,3,13,4,0,3,2022-08-12T21:31:18.434Z
4819,504819,potosi,jose maria linarez,"caiza ""d""",1,4002,1,9,1,0,4,2022-08-17T20:30:03.770Z
3832,503832,potosi,tomas frias,potosi,1,4016,1,19,1,0,8,2022-08-05T19:31:35.682Z
3821,503821,potosi,tomas frias,potosi,1,4016,1,6,1,0,9,2022-08-05T18:58:10.651Z
3853,503853,potosi,tomas frias,potosi,1,3016,1,1,1,0,9,2022-08-05T21:14:00.296Z
4778,504778,potosi,jose maria linarez,"caiza ""d""",1,3009,1,13,1,0,11,2022-08-18T20:14:13.021Z
3849,503849,potosi,tomas frias,potosi,1,4016,1,16,1,0,12,2022-08-05T18:40:48.563Z
5436,505436,potosi,tomas frias,yocalla,1,3001,1,7,1,0,13,2022-08-23T19:42:22.102Z
3843,503843,potosi,tomas frias,potosi,1,4016,1,13,1,0,15,2022-08-05T18:58:31.224Z
4585,504585,potosi,jose maria linarez,"caiza ""d""",1,3009,1,1,1,0,15,2022-08-15T19:34:00.534Z
4794,504794,potosi,jose maria linarez,"caiza ""d""",1,1016,1,3,1,0,16,2022-08-18T21:00:01.779Z
4823,504823,potosi,jose maria linarez,"caiza ""d""",1,3015,1,1,1,0,16,2022-08-17T20:04:54.205Z
4834,504834,potosi,jose maria linarez,"caiza ""d""",1,4002,1,1,1,0,16,2022-08-15T20:34:40.451Z
2769,502769,potosi,tomas frias,potosi,16,1001,1,9,16,0,17,2022-07-18T20:44:22.196Z
3635,503635,potosi,cornelio saavedra,betanzos,1,1001,1,4,1,0,17,2022-08-02T17:42:18.887Z
3814,503814,potosi,tomas frias,potosi,1,4016,1,1,1,0,18,2022-08-04T19:22:54.284Z
5438,505438,potosi,tomas frias,yocalla,1,3039,1,2,1,0,18,2022-08-23T21:00:51.606Z
3815,503815,potosi,tomas frias,potosi,1,4016,1,2,1,0,19,2022-08-05T17:37:56.308Z
3830,503830,potosi,tomas frias,potosi,1,4016,1,18,1,0,19,2022-08-04T19:26:03.736Z
3840,503840,potosi,tomas frias,potosi,1,4016,1,15,1,0,19,2022-08-05T18:20:44.561Z
4072,504072,potosi,antonio quijarro,porco,1,1001,1,4,1,0,19,2022-08-10T18:07:07.178Z
4846,504846,potosi,jose maria linarez,"caiza ""d""",1,4002,1,6,1,0,19,2022-08-18T20:30:04.092Z
2001,502001,potosi,tomas frias,potosi,4,1001,3,9,4,0,20,2022-07-08T22:57:40.958Z
4039,504039,potosi,antonio quijarro,porco,1,1001,1,8,1,0,20,2022-08-10T19:48:21.116Z
4069,504069,potosi,antonio quijarro,porco,1,1001,1,9,1,0,20,2022-08-09T19:11:38.442Z
4809,504809,potosi,jose maria linarez,"caiza ""d""",1,4002,1,11,1,0,20,2022-08-26T15:26:45.812Z
4037,504037,potosi,antonio quijarro,porco,1,1001,1,7,1,0,21,2022-08-10T18:59:01.107Z
4067,504067,potosi,antonio quijarro,porco,1,1001,1,11,1,0,21,2022-08-08T19:58:19.267Z
4793,504793,potosi,jose maria linarez,"caiza ""d""",1,1016,1,2,1,0,21,2022-08-18T21:00:21.887Z
4813,504813,potosi,jose maria linarez,"caiza ""d""",1,4002,1,7,1,0,21,2022-08-15T18:58:31.683Z
3842,503842,potosi,tomas frias,potosi,1,4016,1,12,1,0,23,2022-08-04T20:21:17.012Z
3819,503819,potosi,tomas frias,potosi,1,4016,1,5,1,0,24,2022-08-05T20:37:53.334Z
4817,504817,potosi,jose maria linarez,"caiza ""d""",1,4002,1,8,1,0,24,2022-08-15T18:58:34.494Z
4826,504826,potosi,jose maria linarez,"caiza ""d""",1,3015,1,2,1,0,25,2022-08-17T20:05:45.132Z
2318,502318,potosi,tomas frias,potosi,15,1001,2,3,15,0,26,2022-07-26T23:41:03.816Z
4829,504829,potosi,jose maria linarez,"caiza ""d""",1,3015,1,3,1,0,26,2022-08-18T20:59:15.982Z
4084,504084,potosi,antonio quijarro,porco,1,1001,2,14,1,0,27,2022-08-11T19:23:54.610Z
4788,504788,potosi,jose maria linarez,"caiza ""d""",1,1016,1,1,1,0,27,2022-08-18T21:00:12.569Z
4831,504831,potosi,jose maria linarez,"caiza ""d""",1,3015,1,4,1,0,27,2022-08-18T20:59:11.938Z
4040,504040,potosi,antonio quijarro,porco,1,1001,2,1,1,0,28,2022-08-11T16:27:27.961Z
4066,504066,potosi,antonio quijarro,porco,1,1001,1,10,1,0,28,2022-08-08T18:36:15.832Z
3851,503851,potosi,tomas frias,potosi,1,4016,1,3,1,0,29,2022-08-04T18:01:25.496Z
4068,504068,potosi,antonio quijarro,porco,1,1001,1,5,1,0,30,2022-08-09T19:11:31.064Z
4083,504083,potosi,antonio quijarro,porco,1,1001,2,3,1,0,30,2022-08-11T19:23:51.943Z
3854,503854,potosi,tomas frias,potosi,1,3016,1,2,1,0,31,2022-08-09T18:17:10.257Z
4807,504807,potosi,jose maria linarez,"caiza ""d""",1,4002,1,10,1,0,31,2022-08-19T19:01:07.178Z
4841,504841,potosi,jose maria linarez,"caiza ""d""",1,4002,1,4,1,0,31,2022-08-17T20:21:22.905Z
3662,503662,potosi,cornelio saavedra,betanzos,1,1001,1,9,1,0,32,2022-08-03T20:33:56.401Z
3847,503847,potosi,tomas frias,potosi,1,4016,1,14,1,0,32,2022-08-04T20:17:43.122Z
1287,501287,potosi,tomas frias,potosi,8,1001,4,17,8,0,33,2022-07-26T18:15:20.967Z
3818,503818,potosi,tomas frias,potosi,1,4016,1,4,1,0,33,2022-08-12T21:32:46.861Z
4896,504896,potosi,jose maria linarez,puna,1,8004,1,2,1,0,33,2022-08-18T20:29:32.661Z
4036,504036,potosi,antonio quijarro,porco,1,1001,1,1,1,0,34,2022-08-09T19:11:32.657Z
5401,505401,potosi,cornelio saavedra,chaqui,1,1010,1,2,1,0,34,2022-08-22T20:42:52.023Z
1654,501654,potosi,tomas frias,potosi,14,1001,1,4,14,0,35,2022-07-21T22:39:04.970Z
2839,502839,potosi,tomas frias,potosi,16,1001,2,5,16,0,35,2022-07-18T19:31:36.003Z
4073,504073,potosi,antonio quijarro,porco,1,1001,2,2,1,0,35,2022-08-11T19:02:43.550Z
4598,504598,potosi,jose maria linarez,"caiza ""d""",1,3009,1,2,1,0,35,2022-08-16T21:18:28.303Z
4034,504034,potosi,antonio quijarro,porco,1,1001,1,13,1,0,37,2022-08-08T19:13:52.866Z
4914,504914,potosi,jose maria linarez,puna,1,5017,1,4,1,0,38,2022-08-18T20:29:54.489Z
4093,504093,potosi,antonio quijarro,porco,1,1005,2,4,1,0,40,2022-08-10T19:48:20.751Z
4789,504789,potosi,jose maria linarez,"caiza ""d""",1,1016,1,4,1,0,40,2022-08-19T13:53:57.357Z
2850,502850,potosi,tomas frias,potosi,16,1001,2,11,16,0,41,2022-07-21T23:21:19.264Z
1487,501487,potosi,tomas frias,potosi,9,1001,2,4,9,0,42,2022-07-23T15:08:06.834Z
2288,502288,potosi,tomas frias,potosi,12,1001,2,2,12,0,42,2022-07-15T13:48:24.672Z
2772,502772,potosi,tomas frias,potosi,16,1001,2,1,16,0,42,2022-07-26T19:15:18.789Z
3633,503633,potosi,cornelio saavedra,betanzos,1,1001,2,1,1,0,42,2022-08-03T18:57:35.453Z
4033,504033,potosi,antonio quijarro,porco,1,1001,1,14,1,0,43,2022-08-08T19:13:50.541Z
2248,502248,potosi,tomas frias,potosi,13,1001,1,5,13,0,44,2022-07-26T14:51:52.535Z
4769,504769,potosi,jose maria linarez,"caiza ""d""",1,3009,1,14,1,0,44,2022-08-17T19:34:16.991Z
2303,502303,potosi,tomas frias,potosi,12,1001,1,5,12,0,45,2022-08-05T19:43:56.671Z
3871,503871,potosi,tomas frias,potosi,1,3016,1,10,1,0,45,2022-08-05T19:31:21.328Z
4038,504038,potosi,antonio quijarro,porco,1,1001,1,2,1,0,45,2022-08-12T19:15:21.063Z
4890,504890,potosi,jose maria linarez,puna,1,8032,1,1,1,0,46,2022-08-15T20:44:31.870Z
4895,504895,potosi,jose maria linarez,puna,1,8004,1,1,1,0,47,2022-08-18T20:29:29.711Z
2274,502274,potosi,tomas frias,potosi,12,1001,1,8,12,0,48,2022-07-15T20:15:13.709Z
2311,502311,potosi,tomas frias,potosi,15,1001,1,5,15,0,48,2022-07-11T20:41:15.862Z
3685,503685,potosi,cornelio saavedra,betanzos,1,1001,2,4,1,0,48,2022-08-01T22:30:48.513Z
2289,502289,potosi,tomas frias,potosi,12,1001,1,15,12,0,49,2022-07-15T13:48:30.663Z
2760,502760,potosi,tomas frias,potosi,16,1001,1,2,16,0,49,2022-07-19T21:31:36.810Z
4061,504061,potosi,antonio quijarro,porco,1,1005,1,4,1,0,50,2022-08-08T20:06:10.826Z
3634,503634,potosi,cornelio saavedra,betanzos,1,1001,2,2,1,0,52,2022-08-03T18:57:31.549Z
4779,504779,potosi,jose maria linarez,"caiza ""d""",1,3009,1,15,1,0,52,2022-08-15T20:52:35.989Z
4910,504910,potosi,jose maria linarez,puna,1,5017,1,1,1,0,52,2022-08-15T20:34:16.332Z
1535,501535,potosi,tomas frias,potosi,8,1001,4,15,8,0,53,2022-07-25T19:52:05.824Z
2295,502295,potosi,tomas frias,potosi,12,1001,2,1,12,0,53,2022-07-14T13:28:56.862Z
2768,502768,potosi,tomas frias,potosi,16,1001,1,8,16,0,54,2022-07-19T21:20:59.090Z
3666,503666,potosi,cornelio saavedra,betanzos,1,1001,2,10,1,0,56,2022-08-18T21:22:13.240Z
4060,504060,potosi,antonio quijarro,porco,1,1005,1,1,1,0,56,2022-08-08T20:06:08.555Z
3638,503638,potosi,cornelio saavedra,betanzos,1,1001,1,1,1,0,57,2022-08-03T20:20:02.807Z
3645,503645,potosi,cornelio saavedra,betanzos,1,1001,1,6,1,0,57,2022-08-03T00:15:10.965Z
3709,503709,potosi,cornelio saavedra,betanzos,1,1001,2,7,1,0,57,2022-08-03T20:04:25.241Z
2312,502312,potosi,tomas frias,potosi,15,1001,2,1,15,0,58,2022-07-28T19:41:00.738Z
3661,503661,potosi,cornelio saavedra,betanzos,1,1001,1,8,1,0,59,2022-08-03T20:33:09.657Z
4075,504075,potosi,antonio quijarro,porco,1,1002,1,1,1,0,59,2022-08-11T19:23:36.052Z
2307,502307,potosi,tomas frias,potosi,15,1001,1,4,15,0,60,2022-07-25T20:23:26.475Z
2806,502806,potosi,tomas frias,potosi,16,1001,2,7,16,0,60,2022-07-19T22:29:55.975Z
4050,504050,potosi,antonio quijarro,porco,1,1005,1,3,1,0,61,2022-08-08T22:10:47.583Z
4760,504760,potosi,jose maria linarez,"caiza ""d""",1,3009,1,9,1,0,61,2022-08-19T14:42:11.407Z
4784,504784,potosi,jose maria linarez,"caiza ""d""",1,3009,1,17,1,0,62,2022-08-16T18:19:29.824Z
2304,502304,potosi,tomas frias,potosi,12,1001,1,1,12,0,63,2022-07-13T19:15:02.022Z
2847,502847,potosi,tomas frias,potosi,16,1001,2,10,16,0,63,2022-07-19T20:34:03.077Z
2773,502773,potosi,tomas frias,potosi,16,1001,2,2,16,0,65,2022-07-26T20:29:53.189Z
4782,504782,potosi,jose maria linarez,"caiza ""d""",1,3009,1,16,1,0,65,2022-08-19T19:27:23.192Z
3636,503636,potosi,cornelio saavedra,betanzos,1,1001,1,5,1,0,66,2022-08-18T20:20:06.759Z
2841,502841,potosi,tomas frias,potosi,16,1001,2,6,16,0,67,2022-07-26T22:38:48.790Z
2770,502770,potosi,tomas frias,potosi,16,1001,1,10,16,0,68,2022-07-19T20:30:58.171Z
2296,502296,potosi,tomas frias,potosi,12,1001,1,16,12,0,71,2022-07-26T21:06:50.568Z
4092,504092,potosi,antonio quijarro,porco,1,1005,2,1,1,0,72,2022-08-10T19:47:54.322Z
1333,501333,potosi,tomas frias,potosi,14,1001,1,8,14,0,74,2022-07-21T22:38:37.500Z
2282,502282,potosi,tomas frias,potosi,12,1001,1,2,12,0,75,2022-07-15T20:44:37.314Z
