fecha_publicacion,fecha_limite,departamento,referencia,demanda
2021-09-13,2021-09-16,beni,dicie,1
2021-09-13,2021-09-16,beni,dicie,1
2021-09-13,2021-09-16,beni,dicie,1
2021-09-13,2021-09-16,beni,dicie,3
2021-09-13,2021-09-16,beni,dicie,4
2021-09-13,2021-09-16,beni,dicie,12
2021-09-13,2021-09-16,chuquisaca,dicie,1
2021-09-13,2021-09-16,chuquisaca,dicie,1
2021-09-13,2021-09-16,chuquisaca,dicie,1
2021-09-13,2021-09-16,chuquisaca,dicie,2
2021-09-13,2021-09-16,chuquisaca,dicie,3
2021-09-13,2021-09-16,chuquisaca,dicie,6
2021-09-13,2021-09-16,chuquisaca,dicie,18
2021-09-13,2021-09-16,cochabamba,dicie,1
2021-09-13,2021-09-16,cochabamba,dicie,2
2021-09-13,2021-09-16,cochabamba,dicie,1
2021-09-13,2021-09-16,cochabamba,dicie,4
2021-09-13,2021-09-16,cochabamba,dicie,4
2021-09-13,2021-09-16,cochabamba,dicie,1
2021-09-13,2021-09-16,cochabamba,dicie,13
2021-09-13,2021-09-16,cochabamba,dicie,39
2021-09-13,2021-09-16,la_paz,dicie,5
2021-09-13,2021-09-16,la_paz,dicie,1
2021-09-13,2021-09-16,la_paz,dicie,2
2021-09-13,2021-09-16,la_paz,dicie,1
2021-09-13,2021-09-16,la_paz,dicie,6
2021-09-13,2021-09-16,la_paz,dicie,5
2021-09-13,2021-09-16,la_paz,dicie,5
2021-09-13,2021-09-16,la_paz,dicie,1
2021-09-13,2021-09-16,la_paz,dicie,1
2021-09-13,2021-09-16,la_paz,dicie,3
2021-09-13,2021-09-16,la_paz,dicie,17
2021-09-13,2021-09-16,la_paz,dicie,51
2021-09-13,2021-09-16,oruro,dicie,1
2021-09-13,2021-09-16,oruro,dicie,1
2021-09-13,2021-09-16,oruro,dicie,1
2021-09-13,2021-09-16,oruro,dicie,2
2021-09-13,2021-09-16,oruro,dicie,3
2021-09-13,2021-09-16,oruro,dicie,6
2021-09-13,2021-09-16,oruro,dicie,18
2021-09-13,2021-09-16,pando,dicie,1
2021-09-13,2021-09-16,pando,dicie,1
2021-09-13,2021-09-16,pando,dicie,1
2021-09-13,2021-09-16,pando,dicie,3
2021-09-13,2021-09-16,pando,dicie,3
2021-09-13,2021-09-16,pando,dicie,9
2021-09-13,2021-09-16,potosi,dicie,1
2021-09-13,2021-09-16,potosi,dicie,1
2021-09-13,2021-09-16,potosi,dicie,1
2021-09-13,2021-09-16,potosi,dicie,2
2021-09-13,2021-09-16,potosi,dicie,4
2021-09-13,2021-09-16,potosi,dicie,5
2021-09-13,2021-09-16,potosi,dicie,15
2021-09-13,2021-09-16,santa_cruz,dicie,1
2021-09-13,2021-09-16,santa_cruz,dicie,2
2021-09-13,2021-09-16,santa_cruz,dicie,1
2021-09-13,2021-09-16,santa_cruz,dicie,4
2021-09-13,2021-09-16,santa_cruz,dicie,5
2021-09-13,2021-09-16,santa_cruz,dicie,1
2021-09-13,2021-09-16,santa_cruz,dicie,12
2021-09-13,2021-09-16,santa_cruz,dicie,36
2021-09-13,2021-09-16,tarija,dicie,1
2021-09-13,2021-09-16,tarija,dicie,1
2021-09-13,2021-09-16,tarija,dicie,1
2021-09-13,2021-09-16,tarija,dicie,2
2021-09-13,2021-09-16,tarija,dicie,3
2021-09-13,2021-09-16,tarija,dicie,5
2021-09-13,2021-09-16,tarija,dicie,15
2021-11-11,2021-11-19,beni,dicie,1
2021-11-11,2021-11-19,chuquisaca,dicie,1
2021-11-11,2021-11-19,cochabamba,dicie,1
2021-11-11,2021-11-19,pando,dicie,1
2022-01-08,2022-01-14,la_paz,dicie,1
2022-01-12,2022-01-18,la_paz,dicie,1
2022-02-03,2022-02-04,la_paz,dicie,1
2022-03-18,2022-03-21,la_paz,dicie,36
2022-03-18,2022-03-22,la_paz,dicie,1
2022-03-18,2022-03-22,la_paz,dicie,2
2022-03-18,2022-03-23,la_paz,dicie,2
2022-03-18,2022-03-23,la_paz,dicie,2
2022-03-18,2022-03-23,la_paz,dicie,4
2022-03-18,2022-03-23,la_paz,dicie,8
2022-03-18,2022-03-24,beni,dicie,1
